Id,SalePrice_true,SalePrice_oof
1,208500,200117.72683930016
2,181500,166222.01965528342
3,223500,207821.73948682804
4,140000,170249.4027706505
5,250000,294407.3815794946
6,143000,157711.40280201167
7,307000,273082.8717504507
8,200000,227479.30267941288
9,129900,135917.96432530662
10,118000,124653.50500999643
11,129500,128031.47058447554
12,345000,391907.86719884543
13,144000,126975.21563076544
14,279500,220352.56075027125
15,157000,151719.36032011433
16,132000,134802.6153380022
17,149000,154402.41430579004
18,90000,104369.3540274144
19,159000,156772.23728431982
20,139000,120300.95817099993
21,325300,357697.10046476097
22,139400,136671.64325027264
23,230000,257480.13922263763
24,129900,145806.83171769805
25,154000,144763.70339334707
26,256300,244684.2003591966
27,134800,137497.5788474609
28,306000,302939.00341739866
29,207500,190062.86252592131
30,68500,66105.3598092485
31,40000,93089.45787117766
32,149350,141062.59035708592
33,179900,198929.25743263154
34,165500,183694.04843448233
35,277500,302078.11025299353
36,309000,321130.4035282103
37,145000,155629.69381056092
38,153000,160897.89325400355
39,109000,130625.52391532838
40,82000,97890.59250373246
41,160000,151914.82868276845
42,170000,162957.04229888023
43,144000,148924.8891987032
44,130250,138423.65616075313
45,141000,126359.29031903105
46,319900,284071.1279515703
47,239686,285887.7118082463
48,249700,230677.27468132105
49,113000,104644.39435490464
50,127000,126684.32150062754
51,177000,165293.41876514893
52,114500,123084.68464588202
53,110000,115753.01560198885
54,385000,319845.1985324474
55,130000,134168.06140087373
56,180500,165564.01027724138
57,172500,200138.11995602003
58,196500,197506.92390650068
59,438780,338711.48829352175
60,124900,122144.83600968785
61,158000,166747.36063639913
62,101000,97929.7035395192
63,202500,209109.8416361163
64,140000,153199.03502143917
65,219500,227271.40964084526
66,317000,291660.9785783088
67,180000,232123.91359148404
68,226000,219287.36048554425
69,80000,86835.77439026404
70,225000,207098.98504867352
71,244000,241366.2517498285
72,129500,125466.3302766486
73,185000,188921.04264514206
74,144900,134502.29460278334
75,107400,112609.42809051726
76,91000,113562.40629934939
77,135750,111284.1661143071
78,127000,112075.61593107904
79,136500,119448.32838968698
80,110000,111195.01833360191
81,193500,202277.60530671445
82,153500,168824.04344924435
83,245000,243735.7715591133
84,126500,123261.89206685721
85,168500,167517.32607732216
86,260000,266981.4789641205
87,174000,177695.3034776557
88,164500,146073.07317745316
89,85000,98012.42712786933
90,123600,124214.9391094991
91,109900,95384.33714293058
92,98600,118576.47954571794
93,163500,136647.25387515902
94,133900,178726.74831395125
95,204750,198827.34038735853
96,185000,181613.02570557132
97,214000,220471.14841228438
98,94750,128618.65903483277
99,83000,83998.70304586583
100,128950,107673.92221520185
101,205000,202417.58634028886
102,178000,173539.95482229433
103,118964,129490.83144924357
104,198900,194047.7432456801
105,169500,157221.61858994787
106,250000,234014.71894518143
107,100000,96196.74263521758
108,115000,97448.76351189624
109,115000,117370.77620659576
110,190000,202676.95486329307
111,136900,147282.83080888353
112,180000,174230.49349002968
113,383970,329189.0113592516
114,217000,176549.43707261264
115,259500,202503.61449286705
116,176000,147132.38267619227
117,139000,124463.47686330993
118,155000,147149.21938253852
119,320000,299432.15086383413
120,163990,167355.2454945089
121,180000,154189.90576380675
122,100000,98182.4494067812
123,136000,127981.91001335173
124,153900,166958.112915059
125,181000,158791.58916217493
126,84500,90029.70435461056
127,128000,145863.0517821702
128,87000,93685.07709953579
129,155000,141631.60149789444
130,150000,142353.41484052967
131,226000,233620.96463047303
132,244000,213393.9976952822
133,150750,146136.2159987784
134,220000,207292.1835826092
135,180000,176015.28797462623
136,174000,183562.37259171045
137,143000,147382.8800765431
138,171000,195092.50783333843
139,230000,247128.8104101546
140,231500,203407.98748134254
141,115000,101320.56836761834
142,260000,243024.2786952952
143,166000,117605.48596435327
144,204000,218555.0441101495
145,125000,151055.71422995575
146,130000,151132.34077633242
147,105000,100650.01228486438
148,222500,218315.06526472612
149,141000,153461.30354831443
150,115000,99584.31541543725
151,122000,138938.65907201398
152,372402,309485.2117145832
153,190000,191272.44753911727
154,235000,169159.55351951387
155,125000,109864.00848291456
156,79000,84589.37536660385
157,109500,104726.12605023442
158,269500,281788.7569685656
159,254900,225198.48253537543
160,320000,263857.6352098608
161,162500,155592.5100814769
162,412500,423509.59692327917
163,220000,238094.16017949933
164,103200,96429.94683298007
165,152000,152238.90910156196
166,127500,131282.64698191447
167,190000,179227.0567425652
168,325624,364986.89181641
169,183500,196047.00310137228
170,228000,234298.59472582742
171,128500,133528.36381353656
172,215000,188923.41378293518
173,239000,218846.49079239485
174,163000,158795.7922009134
175,184000,194923.47518796526
176,243000,229026.35848721437
177,211000,207522.0684642244
178,172500,172078.41359462417
179,501837,384072.0613756669
180,100000,113570.16202892388
181,177000,162799.18841879594
182,200100,164200.4365436271
183,120000,136956.22016528653
184,200000,187314.30948612513
185,127000,129668.34273469541
186,475000,286287.9993947257
187,173000,178054.57646778625
188,135000,130192.72644943853
189,153337,150291.43154008267
190,286000,262496.54437760316
191,315000,237173.11881449452
192,184000,176290.46627842897
193,192000,202604.37070902385
194,130000,163060.45832651225
195,127000,125592.77599394556
196,148500,151682.48426913857
197,311872,290194.6918660634
198,235000,266185.44539960806
199,104000,131712.24705341656
200,274900,296097.7340260628
201,140000,142003.3866794137
202,171500,158009.19162902058
203,112000,110287.79438055784
204,149000,148640.28358095456
205,110000,114304.57123097815
206,180500,177339.9816952145
207,143900,146732.3703101884
208,141000,128507.7154705853
209,277000,247156.82851352176
210,145000,146255.5798205638
211,98000,97095.14352529802
212,186000,174603.06895322967
213,252678,220410.83000710947
214,156000,157185.1496348726
215,161750,153059.1640180603
216,134450,146503.99138289184
217,210000,211823.305389896
218,107000,81491.67004849909
219,311500,209046.3548149495
220,167240,177420.5434729321
221,204900,207721.3226410611
222,200000,209193.56666606775
223,179900,173596.50850929332
224,97000,115684.50209191674
225,386250,348491.38044611755
226,112000,95095.18431371912
227,290000,263830.38133156253
228,106000,103231.54601389849
229,125000,120228.83064853716
230,192500,198646.1531926741
231,148000,130682.12265985507
232,403000,350141.30860088055
233,94500,102544.43397341626
234,128200,131942.54208061702
235,216500,211008.63232090563
236,89500,95330.03552519472
237,185500,190162.10023568064
238,194500,206905.7981506242
239,318000,239044.1546829106
240,113000,132128.43457765636
241,262500,240689.4052367735
242,110500,105337.85700313297
243,79000,91470.4194037714
244,120000,133601.41273018002
245,205000,240820.6263286309
246,241500,231234.47886819622
247,137000,133464.98275468076
248,140000,149194.0057506761
249,180000,193532.5105661789
250,277000,240685.35043361984
251,76500,100592.74399983048
252,235000,259394.90190245621
253,173000,169361.79210555693
254,158000,160599.18273933255
255,145000,135278.77721868525
256,230000,230103.53274620493
257,207500,172590.72038926007
258,220000,227382.38066413545
259,231500,213040.78858019918
260,97000,93994.06367106739
261,176000,165907.12388095318
262,276000,335131.6433865009
263,151000,151031.62175684856
264,130000,131364.3495757783
265,73000,93505.11918545052
266,175500,183580.4553253243
267,185000,185436.3215858625
268,179500,181095.53120207647
269,120500,119127.22358169485
270,148000,164730.63183896252
271,266000,255657.03159491546
272,241500,192739.08330047014
273,290000,306945.91943892394
274,139000,172602.7049171814
275,124500,135372.38282791083
276,205000,171500.78834893697
277,201000,218060.02012611114
278,141000,110428.24753795106
279,415298,345187.7594165562
280,192000,205902.83784453222
281,228500,236638.1193592401
282,185000,168949.70492884974
283,207500,207391.5096971303
284,244600,237067.75537615776
285,179200,185988.831210282
286,164700,150959.32106693994
287,159000,189003.1295268202
288,88000,89969.4957096441
289,122000,115172.38787414356
290,153575,140078.34262602145
291,233230,253806.0430041282
292,135900,120404.44145937086
293,131000,143623.64171210505
294,235000,237984.81294849308
295,167000,180360.6677998657
296,142500,144636.12924322765
297,152000,133548.9108059165
298,239000,215297.3288309401
299,175000,175815.89853608626
300,158500,141986.08329474257
301,157000,141340.19903740377
302,267000,288023.5208371235
303,205000,218638.7786650536
304,149900,134732.2888331741
305,295000,275879.12863325956
306,305900,297319.54602731543
307,225000,252834.91616638616
308,89500,101193.70077781673
309,82500,120032.38937729005
310,360000,381411.6774697767
311,165600,172820.53327654238
312,132000,139619.37930116517
313,119900,128870.34875700368
314,375000,233307.25501112253
315,178000,174106.9017546154
316,188500,189657.9456486533
317,260000,278896.3345906273
318,270000,244708.2649767294
319,260000,311726.18528028997
320,187500,199037.8135040154
321,342643,320975.5383412352
322,354000,342328.64457439416
323,301000,278307.7265935009
324,126175,116684.31127910022
325,242000,253579.15012614877
326,87000,79495.23743739005
327,324000,266613.47548575944
328,145250,145004.115780783
329,214500,166719.82463412062
330,78000,84505.39093736168
331,119000,136196.3748976067
332,139000,133721.54891045112
333,284000,265831.82099957485
334,207000,202682.36834238295
335,192000,193736.4035327411
336,228950,201546.64109078769
337,377426,335070.55565667176
338,214000,223666.88787178142
339,202500,219148.98975459946
340,155000,139721.03223078224
341,202900,216970.68118811777
342,82000,83610.33742777526
343,87500,80888.66890603928
344,266000,269503.3256298378
345,85000,98936.87725112156
346,140200,133360.82934927254
347,151500,138767.04153195416
348,157500,182517.2855437859
349,154000,194202.1408144256
350,437154,463569.10804594104
351,318061,290321.9313047675
352,190000,195915.52208230743
353,95000,100305.32749659795
354,105900,109354.08363575969
355,140000,160145.85697275287
356,177500,183348.27704141097
357,173000,166756.48198352993
358,134000,145214.84211948927
359,130000,115362.6642087094
360,280000,269105.76271952386
361,156000,151510.01569188948
362,145000,131561.42511878227
363,198500,205128.2134910921
364,118000,114245.9091684279
365,190000,178710.59843254913
366,147000,130451.0443680666
367,159000,172064.75895178982
368,165000,156870.0094773412
369,132000,146566.8372856695
370,162000,170649.75715853117
371,172400,167770.87847064063
372,134432,119725.4405611894
373,125000,120677.04726778073
374,123000,116424.5255457592
375,219500,207464.9873167389
376,61000,88049.61884172121
377,148000,145650.65061738502
378,340000,247616.55605674323
379,394432,314026.0936468707
380,179000,172298.8548835917
381,127000,153011.91738712674
382,187750,185783.92780251498
383,213500,203338.70889385854
384,76000,79441.53204426444
385,240000,232977.48105951506
386,192000,197230.83578061176
387,81000,99683.0153588771
388,125000,142507.79273015304
389,191000,191838.81154541104
390,426000,429354.01951021346
391,119000,132081.81254492444
392,215000,224984.87616401992
393,106500,108054.43233789843
394,100000,97643.41671781725
395,109000,109010.20322733287
396,129000,143063.44493653692
397,123000,128251.9614637602
398,169500,165795.97404770824
399,67000,82644.43647310318
400,241000,193031.4295062235
401,245500,231123.60291192378
402,164990,187612.07276673318
403,108000,103041.00533062124
404,258000,252267.11646469522
405,168000,163480.35382047412
406,150000,147017.24235618702
407,115000,135005.70835753783
408,177000,153093.64363182508
409,280000,277881.96650197444
410,339750,280220.83287759
411,60000,108506.04363758965
412,145000,149256.13760694923
413,222000,235373.15543511702
414,115000,114854.14610449727
415,228000,241801.08490264617
416,181134,184440.851844534
417,149500,147453.26187273368
418,239000,205680.44884037974
419,126000,116798.77880833729
420,142000,135598.99373898527
421,206300,196068.17061605403
422,215000,222773.4468442536
423,113000,113411.8301056986
424,315000,316704.33335829485
425,139000,147525.04716430703
426,135000,139666.20374915635
427,275000,256739.9630076962
428,109008,112615.54325940169
429,195400,199668.7090761788
430,175000,184719.8548828907
431,85400,97940.12654346802
432,79900,114101.67679800474
433,122500,120435.84786942594
434,181000,169788.62660365846
435,81000,101624.13773771565
436,212000,210882.78174288265
437,116000,109776.86343316431
438,119000,117081.72700491257
439,90350,97562.94790285682
440,110000,140191.82351515885
441,555000,432342.82534082606
442,118000,115491.13430416418
443,162900,140410.39690095896
444,172500,202295.88852548547
445,210000,218910.8397090367
446,127500,157448.09078819238
447,190000,223132.80887520977
448,199900,210797.00103577963
449,119500,121423.57940284425
450,120000,106604.48432639951
451,110000,107225.20989939317
452,280000,209699.49656245968
453,204000,180094.36247105463
454,210000,192018.870425396
455,188000,142731.18254381264
456,175500,172869.3254697095
457,98000,100536.31750087018
458,256000,198515.23819621725
459,161000,167268.04295718548
460,110000,115385.1989125192
461,263435,218381.958721075
462,155000,160712.3837988461
463,62383,119029.23350701712
464,188700,152572.85522851048
465,124000,112654.84333327704
466,178740,177784.9397561298
467,167000,160111.87637075805
468,146500,163762.22843351233
469,250000,245407.38870342146
470,187000,177688.92623641074
471,212000,217516.9554373182
472,190000,199567.06772038736
473,148000,140315.39873739795
474,440000,360321.33391719265
475,251000,230911.8630001229
