Id,SalePrice
1461,126491.39172470078
1462,160549.28220825168
1463,184690.77333291224
1464,188238.32303512096
1465,190486.01995111295
1466,178130.222809432
1467,172868.82806173724
1468,170852.95975229118
1469,182530.08390511575
1470,123622.04752086604
1471,200937.0660279471
1472,93416.45742418773
1473,97478.43552735579
1474,153353.4478272596
1475,143966.58027243052
1476,378392.4924683025
1477,249422.85815926822
1478,297260.6118245805
1479,252912.19864543027
1480,506336.51117742073
1481,328364.26663006644
1482,204611.7983104115
1483,170939.62455594438
1484,172947.60859612637
1485,171383.9868970469
1486,194268.79061300622
1487,344683.6721932366
1488,223278.42110325076
1489,204838.5719918036
1490,194659.54719432697
1491,190840.0455678796
1492,95053.88128705941
1493,180728.08986540895
1494,289857.3754748359
1495,298362.73581159965
1496,233224.42666962757
1497,183940.07116906
1498,156013.32572031673
1499,154688.89926183398
1500,158250.82963455303
1501,174428.8618119162
1502,162921.66542130028
1503,281617.1010239754
1504,242332.13913004246
1505,222781.7159645451
1506,181543.3173219887
1507,212878.0296052157
1508,203048.3396294428
1509,162814.22009824502
1510,150551.4679933489
1511,148653.83341340825
1512,169962.58562645412
1513,143817.75736624736
1514,160807.44613776685
1515,181686.42579110223
1516,156625.7036242074
1517,158333.70679583173
1518,124570.30859206444
1519,218188.17956246645
1520,137255.80198545416
1521,142601.48451730973
1522,163803.70091079033
1523,113793.55190506703
1524,121966.9420724165
1525,126505.53668144437
1526,121865.72953777609
1527,99604.90190802184
1528,128001.1807517615
1529,146868.4723519731
1530,176731.77466396798
1531,113333.9383631428
1532,105994.75827318331
1533,140327.4905048514
1534,115350.17458950511
1535,155295.44917209505
1536,115655.16020170019
1537,71715.47032275758
1538,163194.810605432
1539,192514.6998820474
1540,101836.73945082501
1541,143272.91014254175
1542,144287.42554435617
1543,225520.9089148444
1544,77222.48536073892
1545,102536.69865488603
1546,124344.61422225968
1547,135077.09990713166
1548,132677.04540929565
1549,113205.01275547576
1550,143740.147873748
1551,117974.18330901382
1552,127560.80092964845
1553,141837.40356907953
1554,116437.21543577842
1555,175086.9719130792
1556,90862.94432125743
1557,109919.32273575125
1558,91408.83351162932
1559,93084.12128501011
1560,145216.47983074677
1561,135663.5364182441
1562,127481.14348080503
1563,121283.3466108475
1564,160756.07911713884
1565,151600.06369612255
1566,225822.48344875086
1567,73653.45942017315
1568,233720.17338441062
1569,135929.47812591164
1570,128791.77264890233
1571,127324.10273028759
1572,150068.35097885854
1573,249878.13841104542
1574,110511.83042801816
1575,208278.98524886355
1576,215150.46707006395
1577,201315.74689123526
1578,146871.3437257359
1579,142415.76657626504
1580,192022.55491765492
1581,144360.71837116688
1582,129701.42855850363
1583,319229.6303853332
1584,232636.5314364001
1585,140886.59586640337
1586,67730.13620838485
1587,99863.42396181369
1588,151401.3630759788
1589,102088.39653625614
1590,135080.83575371487
1591,103427.77481660877
1592,122327.38965844104
1593,119354.33651633025
1594,126662.44359125709
1595,114167.83771553103
1596,233738.73003657
1597,173583.94741382712
1598,185662.06532440384
1599,179661.64618936717
1600,175262.71976002833
1601,72643.80811333166
1602,105209.0917894114
1603,86002.151938018
1604,272913.5794062659
1605,248380.49948333114
1606,171838.7223175411
1607,161891.65146872844
1608,218920.86520521418
1609,192058.22239462682
1610,164364.53817573038
1611,145939.0784741743
1612,162847.3353674118
1613,161737.21651763585
1614,124526.83521211549
1615,86941.50270676501
1616,75244.04798979245
1617,85411.11282047488
1618,125925.0270185798
1619,136602.34740191235
1620,153709.8342794844
1621,136256.57965330998
1622,141297.90270952779
1623,284505.6008920207
1624,210840.76678523913
1625,125591.70210046702
1626,172863.9647154532
1627,184338.96932061517
1628,282392.3920413023
1629,174783.71258186636
1630,341534.981277659
1631,216987.0704767699
1632,249861.69602319584
1633,169197.50596448878
1634,182335.65848267314
1635,180736.62172300453
1636,156888.1812062728
1637,179224.7908707153
1638,207929.3404120835
1639,177217.47267856856
1640,259637.24919010405
1641,181128.4864430691
1642,225003.12103605334
1643,229052.15542978517
1644,233830.25315275227
1645,183007.84821758122
1646,156685.2392259297
1647,154815.9694021705
1648,139543.28502373557
1649,139875.4476702569
1650,119143.83022303483
1651,121188.53775815114
1652,94274.3656487966
1653,98087.9200768923
1654,155172.46196602375
1655,157387.1741952353
1656,149720.22901069722
1657,154216.95445609195
1658,151165.32759665884
1659,145227.69796867386
1660,148280.49545193763
1661,490386.5560711057
1662,384558.2026861396
1663,389223.1088680966
1664,480139.05624191265
1665,312342.4949693072
1666,317793.6201339705
1667,364102.3181400399
1668,330690.5084828175
1669,298044.36121562344
1670,336929.690692995
1671,265980.26027220336
1672,519645.3132152845
1673,297242.3272326401
1674,248349.41157780896
1675,184162.68202240916
1676,186003.13422391508
1677,214853.87241625352
1678,471018.7058730427
1679,387729.6096599685
1680,325298.9554346917
1681,244540.48711979986
1682,300561.19884034194
1683,182863.9605031067
1684,169331.32651994296
1685,174627.88742101082
1686,168078.91886950075
